date,beta/27,beta/28,beta/29,beta/30
18/9/2013,1,0,0,0
25/9/2013,101,0,0,0
4/10/2013,43,0,0,0
11/10/2013,5,0,0,0
18/10/2013,1,0,0,0
28/10/2013,1,0,0,0
29/10/2013,2,1,0,0
1/11/2013,4,0,0,0
2/11/2013,11,0,0,0
4/11/2013,40,0,0,0
12/11/2013,18,0,0,0
23/11/2013,395,7,0,0
9/12/2013,1457169,4,1,0
10/12/2013,235183,0,5,0
16/12/2013,7046937,0,3,0
6/1/2014,1381994,1,8,0
9/1/2014,1401945,0,2,0
13/1/2014,1405595,0,2,0
16/1/2014,1346991,33,0,0
20/1/2014,1190246,0,0,0
23/1/2014,1840628,1,198,0
27/1/2014,3052439,0,2,0
12/2/2014,30,0,0,2
29/10/2013,2,1,0,0
6/11/2013,0,222,0,0
18/11/2013,0,8,0,0
20/11/2013,0,13,0,0
21/11/2013,0,9,0,0
23/11/2013,395,7,0,0
24/11/2013,0,1,0,0
25/11/2013,0,102,0,0
26/11/2013,0,10,0,0
3/12/2013,0,55,0,0
9/12/2013,1457169,4,1,0
1/1/2014,0,1,0,0
2/1/2014,0,2,1,0
6/1/2014,1381994,1,8,0
7/1/2014,0,8,8,0
12/1/2014,0,1,4,0
16/1/2014,1346991,33,0,0
23/1/2014,1840628,1,198,0
28/1/2014,0,1,0,0
29/1/2014,0,1,3,0
30/1/2014,0,1,4,0
31/1/2014,0,1,8,0
1/2/2014,0,1,5,0
2/2/2014,0,8,1,0
3/2/2014,0,68747,2,0
5/2/2014,0,477427,0,0
10/2/2014,0,849968,1,1
13/2/2014,0,461477,0,1
9/12/2013,1457169,4,1,0
10/12/2013,235183,0,5,0
11/12/2013,0,0,10,0
12/12/2013,0,0,10,0
13/12/2013,0,0,10,0
14/12/2013,0,0,4,0
15/12/2013,0,0,6,0
16/12/2013,7046937,0,3,0
17/12/2013,0,0,2,0
18/12/2013,0,0,1,0
19/12/2013,0,0,1,0
20/12/2013,0,0,1,0
21/12/2013,0,0,2,0
22/12/2013,0,0,2,0
24/12/2013,0,0,1,0
25/12/2013,0,0,1,0
26/12/2013,0,0,3,0
27/12/2013,0,0,4,0
28/12/2013,0,0,16,0
30/12/2013,0,0,2,0
31/12/2013,0,0,2,0
2/1/2014,0,2,1,0
3/1/2014,0,0,3,0
4/1/2014,0,0,3,0
5/1/2014,0,0,6,0
6/1/2014,1381994,1,8,0
7/1/2014,0,8,8,0
8/1/2014,0,0,7,0
9/1/2014,1401945,0,2,0
10/1/2014,0,0,4,0
11/1/2014,0,0,5,0
12/1/2014,0,1,4,0
13/1/2014,1405595,0,2,0
14/1/2014,0,0,7,0
23/1/2014,1840628,1,198,0
26/1/2014,0,0,3,0
27/1/2014,3052439,0,2,0
29/1/2014,0,1,3,0
30/1/2014,0,1,4,0
31/1/2014,0,1,8,0
1/2/2014,0,1,5,0
2/2/2014,0,8,1,0
3/2/2014,0,68747,2,0
9/2/2014,0,0,5,0
10/2/2014,0,849968,1,1
11/2/2014,0,0,1,2
7/2/2014,0,0,0,1
10/2/2014,0,849968,1,1
11/2/2014,0,0,1,2
12/2/2014,30,0,0,2
13/2/2014,0,461477,0,1
15/2/2014,0,0,0,1
